"ebint","ebhex","depth","area","longitude","latitude","clust30","clust30a"
1752208,"0x1abc90",22,4824865,29.4786894,69.825723,26,15
14035353,"0xd62999",12.8,1626009,30.1571737,69.6925285,26,15
4341716,"0x423fd4",13,1682441,27.6227672,70.4806314,1,1
2427966,"0x250c3e",12.3,1518200,7.1077789,59.4958144,23,27
13890741,"0xd3f4b5",11.8,1398480,6.1381949,58.4351285,9,19
7258220,"0x6ec06c",7.7,590262,8.701818,58.6170991,3,7
9501376,"0x90fac0",15.5,2417157,8.1576192,58.8491983,9,19
1318211,"0x141d43",17.8,3169052,6.0174399,58.8122526,9,19
4153962,"0x3f626a",28.5,8104390,7.0943137,59.0017125,9,19
2947937,"0x2cfb61",8.7,750301,6.8947907,59.1167135,9,19
12426936,"0xbd9eb8",17,2900422,8.2033473,59.2451942,3,7
1882356,"0x1cb8f4",11.1,1242365,9.7964877,59.3349873,3,7
9958749,"0x97f55d",39.2,15375813,8.3171468,59.3381975,3,7
11623779,"0xb15d63",16.9,2849393,8.4842057,60.5989358,8,24
3903279,"0x3b8f2f",18.7,3501025,9.1690763,59.9419874,3,7
11628569,"0xb17019",14.7,2153002,8.3296728,59.7547398,3,7
7289050,"0x6f38da",27.9,7767512,7.3624965,59.8155467,23,27
11639070,"0xb1991e",11.1,1225186,7.3013831,60.0805587,23,27
2118772,"0x205474",11.4,1310046,9.4916417,61.1118558,8,16
12945704,"0xc58928",12.9,1674240,8.125982,60.3153646,23,24
8901792,"0x87d4a0",15.5,2409559,6.9604285,60.2051642,23,27
12740510,"0xc2679e",37.1,13786025,7.7566913,60.3800748,23,24
4020409,"0x3d58b9",60.7,36787939,8.0347372,60.7611265,8,24
12064205,"0xb815cd",10.5,1107040,11.1685659,62.3579118,21,30
9005174,"0x896876",14.1,1980560,9.8036017,61.2144726,8,16
10899693,"0xa650ed",42.3,17859768,7.0822982,61.4026224,29,21
14946672,"0xe41170",39.7,15763678,8.6482012,61.4809999,8,24
5580560,"0x552710",14.6,2130269,5.2659595,61.3048711,29,21
6000553,"0x5b8fa9",8.6,734506,11.2288284,63.3527951,27,22
648125,"0x9e3bd",12.1,1463432,5.8763866,61.7031346,29,21
13747670,"0xd1c5d6",13.4,1804784,6.5445605,62.5624082,29,21
2793517,"0x2aa02d",26.1,6790988,9.1188012,62.9660737,27,22
939720,"0xe56c8",8.8,766459,11.9315214,64.3609094,7,6
16672338,"0xfe6652",12.8,1641583,11.8836878,64.0701434,7,6
521316,"0x7f464",65.1,42332177,14.395831,66.1632115,17,20
5787827,"0x5850b3",16.8,2807089,13.3791975,66.3874614,17,20
4499544,"0x44a858",11,1218044,15.1696233,66.7947199,5,26
11534993,"0xb00291",47.7,22706566,14.0965465,66.3762395,17,20
15157244,"0xe747fc",22.6,5105773,15.9712154,67.6200075,4,23
15425744,"0xeb60d0",12.1,1452630,17.706518,68.5245464,4,23
8614694,"0x837326",20.6,4246931,23.2591515,69.2842515,14,9
1194064,"0x123850",16.8,2808683,29.6635875,69.5702224,26,15
16537549,"0xfc57cd",19.7,3879315,30.7121358,69.7293237,26,15
198311,"0x306a7",15.5,2415749,9.1401173,58.7640282,3,7
3932076,"0x3bffac",11.4,1308057,5.8941685,58.5972299,9,19
648415,"0x9e4df",11.9,1413877,7.0769601,59.4001295,9,27
9272740,"0x8d7da4",36.3,13151406,6.474524,59.1028322,9,19
3496886,"0x355bb6",8.2,665904,9.2653386,59.2235524,3,7
8972182,"0x88e796",40.2,16198578,8.5779267,59.352457,3,7
14430426,"0xdc30da",19.1,3649031,7.789446,59.2724559,3,7
8277336,"0x7e4d58",12.9,1669467,10.1686474,59.465046,3,7
676649,"0xa5329",17.4,3030228,10.0669184,59.5830145,3,7
10913539,"0xa68703",19.1,3655794,8.6328066,59.7254899,3,7
12527872,"0xbf2900",33,10875167,7.1615646,59.6893183,23,27
6761879,"0x672d97",14.8,2196682,9.9814563,59.938107,3,7
