"lakeid","d1","d2","dm","area","fractionalarea","cumsumarea","cumsumfraction","intervals.string","oneminusZdmdivZmaxdm"
"SW3-6116",10,11,10.5,2503.41820923131,0.0078151641204226,2503.41820923131,0.0078151641204226,"10-11",0
"SW3-6118",0,2,1,128042.184340334,0.358386350315548,357274.165792299,1,"0-2",0.925925925925926
"SW3-6118",2,4,3,74470.0544124202,0.208439516602813,229231.981451965,0.641613649684452,"2-4",0.777777777777778
"SW3-6118",4,6,5,61269.5657365892,0.171491732688582,154761.927039545,0.433174133081639,"4-6",0.62962962962963
"SW3-6118",6,8,7,48214.6566191336,0.134951421724579,93492.3613029556,0.261682400393056,"6-8",0.481481481481482
"SW3-6118",8,10,9,34271.1330196273,0.0959239046675173,45277.704683822,0.126730978668478,"8-10",0.333333333333333
"SW3-6118",10,12,11,6772.78877605045,0.0189568388216119,11006.5716641947,0.0308070740009604,"10-12",0.185185185185185
"SW3-6118",12,13,12.5,3309.30334973168,0.00926264383654189,4233.7828881443,0.0118502351793485,"12-13",0.0740740740740741
"SW3-6118",13,14,13.5,924.479538412614,0.00258759134280663,924.479538412614,0.00258759134280663,"13-14",0
"SW3-6119",0,1,0.5,865677.728378503,0.186447618175792,4596197.28317904,0.98991808154742,"0-1",0.975
"SW3-6119",1,3,2,1475754.9204773,0.317844598416066,3730519.55480053,0.803470463371629,"1-3",0.9
"SW3-6119",3,5,4,1404579.74769707,0.302515058330771,2254764.63432323,0.485625864955563,"3-5",0.8
"SW3-6119",5,7,6,509507.457043974,0.109736508973831,850184.886626168,0.183110806624791,"5-7",0.7
"SW3-6119",7,9,8,240787.847067966,0.0518603160272939,340677.429582194,0.0733742976509599,"7-9",0.6
"SW3-6119",9,11,10,50985.7451787292,0.010981189001244,99889.5825142281,0.021513981623666,"9-11",0.5
"SW3-6119",11,15,13,28300.1990417284,0.00609522982081851,48903.8373354989,0.010532792622422,"11-15",0.35
"SW3-6119",15,19,17,17979.741573354,0.00387243414249232,20603.6382937705,0.00443756280160348,"15-19",0.15
"SW3-6119",19,21,20,2623.89672041653,0.000565128659111153,2623.89672041653,0.000565128659111153,"19-21",0
"SW3-6125",0,1,0.5,450747.555984738,0.186869634107451,2412096.31590308,1,"0-1",0.955555555555556
"SW3-6125",1,3,2,647848.882693222,0.26858333907395,1961348.75991834,0.813130365892549,"1-3",0.822222222222222
"SW3-6125",3,5,4,528198.572386183,0.218979055232472,1313499.87722512,0.544547026818599,"3-5",0.644444444444444
"SW3-6125",5,7,6,379685.863483607,0.157409080632609,785301.304838934,0.325567971586127,"5-7",0.466666666666667
"SW3-6125",7,9,8,266601.491123096,0.110526884588057,405615.441355327,0.168158890953518,"7-9",0.288888888888889
"SW3-6125",9,11,10,136818.893197112,0.0567219858904712,139013.950232231,0.0576320063654609,"9-11",0.111111111111111
"SW3-6125",11,11.5,11.25,2195.0570351191,0.00091002047498973,2195.0570351191,0.00091002047498973,"11-11.5",0
"SW3-6126",0,2,1,74617.1876200007,0.361326407346278,206509.090127174,1,"0-2",0.863013698630137
"SW3-6126",2,4,3,84555.4407719082,0.4094514227913,131891.902507174,0.638673592653722,"2-4",0.589041095890411
"SW3-6126",4,6,5,38244.7409575663,0.185196404352051,47336.4617352653,0.229222169862422,"4-6",0.315068493150685
"SW3-6126",6,7,6.5,8349.58094409354,0.0404320262074257,9091.72077769901,0.0440257655103708,"6-7",0.10958904109589
"SW3-6126",7,7.6,7.3,742.139833605468,0.00359373930294515,742.139833605468,0.00359373930294515,"7-7.6",0
"SW3-6132",0,2,1,683400.285580994,0.33526286379303,2038401.38406406,1,"0-2",0.938650306748466
"SW3-6132",2,4,3,434989.865652673,0.213397552147169,1355001.09848307,0.66473713620697,"2-4",0.815950920245399
"SW3-6132",4,6,5,334863.526464088,0.164277521140833,920011.232830396,0.451339584059801,"4-6",0.693251533742331
"SW3-6132",6,8,7,347909.311009597,0.170677528836815,585147.706366308,0.287062062918967,"6-8",0.570552147239264
"SW3-6132",8,10,9,149141.569503628,0.0731659479185974,237238.395356711,0.116384534082153,"8-10",0.447852760736196
"SW3-6132",10,12,11,31494.2325963202,0.0154504568347224,88096.8258530827,0.0432185861635551,"10-12",0.325153374233129
"SW3-6132",12,14,13,30669.5636279555,0.0150458903078294,56602.5932567624,0.0277681293288327,"12-14",0.202453987730061
"SW3-6132",14,16,15,19503.2712800438,0.00956792486137308,25933.0296288069,0.0127222390210033,"14-16",0.079754601226994
"SW3-6132",16,16.6,16.3,6429.75834876307,0.0031543141596302,6429.75834876307,0.0031543141596302,"16-16.6",0
"SW3-6133",0,2,1,300127.440669782,0.388957240388514,771620.655190777,1,"0-2",0.880239520958084
"SW3-6133",2,4,3,237574.09415027,0.307889754573161,471493.214520996,0.611042759611486,"2-4",0.640718562874252
"SW3-6133",4,6,5,136951.088492865,0.177484995472295,233919.120370725,0.303153005038325,"4-6",0.401197604790419
"SW3-6133",6,8,7,89602.6257193415,0.116122637615485,96968.0318778607,0.12566800956603,"6-8",0.161676646706587
"SW3-6133",8,8.7,8.35,7365.40615851916,0.00954537195054495,7365.40615851916,0.00954537195054495,"8-8.7",0
"SW3-6138",0,1,0.5,10186.3651392849,0.196328186918981,51884.3743180317,1,"0-1",0.939759036144578
"SW3-6138",1,2,1.5,7881.73661964663,0.151909639910748,41698.0091787468,0.803671813081019,"1-2",0.819277108433735
"SW3-6138",2,4,3,13674.4055313314,0.263555371170372,33816.2725591002,0.651762173170272,"2-4",0.63855421686747
"SW3-6138",4,6,5,8396.00826138516,0.161821518939802,20141.8670277688,0.3882068019999,"4-6",0.397590361445783
"SW3-6138",6,8,7,8190.06849325803,0.157852312972996,11745.8587663836,0.226385283060097,"6-8",0.156626506024096
"SW3-6138",8,8.6,8.3,3555.79027312561,0.0685329700871009,3555.79027312561,0.0685329700871009,"8-8.6",0
"SW3-6144",0,1,0.5,7624.43688102014,0.112388193591958,67840.1942173909,1,"0-1",0.969788519637462
"SW3-6144",1,5,3,13239.4763185588,0.195156816269327,60215.7573363708,0.887611806408042,"1-5",0.818731117824773
"SW3-6144",5,10,7.5,13338.8994316521,0.196622365037874,46976.281017812,0.692454990138715,"5-10",0.546827794561934
"SW3-6144",10,15,12.5,18017.2079544625,0.265583083337396,33637.3815861599,0.495832625100842,"10-15",0.244712990936556
